Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
23060,ArmA: Armed Assault,Shooter,,PC,Unknown,Bohemia Interactive Studio,,,,,,,,,2011.0
23061,ArmA: Combat Operations,Shooter,M,PC,Atari,Bohemia Interactive,,,,,,,,,2007.0
23062,Armada,Shooter,E,DC,Metro 3D,Metro3D,8.3,,,,,,,,1999.0
23063,Armada,Strategy,E,DSiW,Zoo Games,Zoo Games,,,,,,,,,2010.0
23064,Armada F/X Racers,Racing,E,GB,Metro 3D,Metro3D,,,,,,,,,2000.0
23065,Armadillo Run,Puzzle,,PC,Unknown,Peter Stock,9.0,,,,,,,,2000.0
23066,Armageddon Riders,Racing,M,PSN,Unknown,Targem Games,,,,,,,,,2011.0
23067,Armed and Dangerous,Shooter,T,PC,LucasArts,Planet Moon Studios,,,,,,,,,2003.0
23068,Armed Fighter,Fighting,,PS,Banpresto,Banpresto,,,,,,,,,1999.0
23069,Armed Seven,Misc,,PC,SCEA Studio San Diego,Unknown,,,,,,,,,2013.0
23070,Armello,Strategy,E10,And,League of Geeks,League of Geeks,,,,,,,,,2015.0
23071,Armello,Strategy,E10,WinP,League of Geeks,League of Geeks,,,,,,,,,2015.0
23072,Armello,Strategy,E10,Linux,League of Geeks,League of Geeks,,,,,,,,,2015.0
23073,Armello,Strategy,E10,OSX,League of Geeks,League of Geeks,,,,,,,,,2015.0
23074,Armello,Strategy,E10,PC,League of Geeks,League of Geeks,,,,,,,,,2015.0
23075,Armen Noir,Adventure,,PS2,Idea Factory,Otomate,,,,,,,,,2010.0
23076,Armies of Exigo,Strategy,,PC,Electronic Arts,Black Hole Entertainment,,,,,,,,,2004.0
23077,Armikrog,Adventure,,PS4,Versus Evil,Pencil Test Studios,,,,,,,,,2016.0
23078,Armikrog,Adventure,E10,WiiU,Versus Evil,Pencil Test Studios,,,,,,,,,2016.0
23079,Armikrog,Adventure,,Linux,Versus Evil,Pencil Test Studios,,,,,,,,,2015.0
23080,Armikrog,Adventure,,OSX,Versus Evil,Pencil Test Studios,,,,,,,,,2015.0
23081,Armikrog,Adventure,,PC,Versus Evil,Pencil Test Studios,,,,,,,,,2015.0
23082,Armillo,Misc,,WiiU,Fuzzy Wuzzy Games,Unknown,,,,,,,,,2014.0
23083,Armin van Buuren: In the Mix,Misc,,Wii,Foreign Media Games,Transgaming Technologies,,,,,,,,,2010.0
23084,Armor Valley,Shooter,,XBL,Microsoft,Janelle,,,,,,,,,2009.0
23085,Armored Assault,Simulation,T,PC,iEntertainment Network,iEntertainment Network,,,,,,,,,2002.0
23086,ARMORED CORE 3 Portable,Simulation,T,PSN,From Software,From Software,,,,,,,,,2009.0
23087,Armored Core SL: Silent Line Portable,Simulation,T,PSN,From Software,From Software,5.8,,,,,,,,2010.0
23088,Armored Core: Formula Front,Simulation,,PS2,Unknown,From Software,,,,,,,,,2010.0
23089,Armored Core: Last Raven Portable,Simulation,T,PSN,From Software,From Software,5.0,,,,,,,,2010.0
23090,Armored Fist,Simulation,,PC,NovaLogic,NovaLogic,,,,,,,,,1995.0
23091,Armored Fist 3,Simulation,T,PC,NovaLogic,NovaLogic,,,,,,,,,1999.0
23092,Armored Hunter Gunhound EX,Misc,,PC,G.rev Ltd.,Unknown,,,,,,,,,2014.0
23093,Armored Hunter Gunhound EX,Misc,,PSP,G.rev Ltd.,Unknown,,,,,,,,,2013.0
23094,Armored Trooper Votoms: Lightning Slash,Action,,PS,Takara,Takara,,,,,,,,,1999.0
23095,Armored Unit,Strategy,,WS,Sammy Corporation,Sammy Studios,,,,,,,,,1999.0
23096,Armored Warfare,Misc,,PC,MY.COM,Unknown,,,,,,,,,2015.0
23097,Armorines: Project S.W.A.R.M.,Shooter,E,GB,Acclaim Entertainment,Neon Studios,,,,,,,,,1999.0
23098,Arms Dealer,Strategy,,PC,Case in Point Studios,Case in Point Studios,,,,,,,,,2015.0
23099,Arms' Heart,Role-Playing,,PSP,Hamster Corporation,Hamster Corporation,,,,,,,,,2010.0
23100,Arms' Heart,Role-Playing,,PSN,Hamster Corporation,Hamster Corporation,,,,,,,,,2010.0
23101,Army Corps of Hell,Action,M,PSV,Square Enix,"Entersphere, Inc.",,,,,,,,,2012.0
23102,Army Defender,Shooter,E10,DSiW,Mindscape,Kaolink,,,,,,,,,2009.0
23103,Army Men,Action,E,GB,3DO,Digital Eclipse,,,,,,,,,2000.0
23104,Army Men 2,Action,E,GB,3DO,Digital Eclipse,,,,,,,,,2000.0
23105,Army Men Gold: Collector's Edition,Misc,T,PS,3DO,3DO,,,,,,,,,2002.0
